serial_number,ts_started,number
 https://qr.iotsg.co.uk/activate/iotsg-100000-00002367 ,06/08/1976 12:34,1
https://qr.iotsg.co.uk/activate/iotsg-100000-00004239,07/08/1976 12:34,2
https://qr.iotsg.co.uk/activate/iotsg-100000-00004230,08/08/1976 12:34,3
https://qr.iotsg.co.uk/activate/iotsg-100000-00004409,09/08/1976 12:34,4
https://qr.iotsg.co.uk/activate/iotsg-100000-00004411,10/08/1976 12:34,5
https://qr.iotsg.co.uk/activate/iotsg-100000-00004349,11/08/1976 12:34,6
https://qr.iotsg.co.uk/activate/iotsg-100000-00004329,12/08/1976 12:34,7
https://qr.iotsg.co.uk/activate/iotsg-100000-00004379,13/08/1976 12:34,8
https://qr.iotsg.co.uk/activate/iotsg-100000-00002789,14/08/1976 12:34,9
https://qr.iotsg.co.uk/activate/iotsg-100000-00004331,15/08/1976 12:34,10
https://qr.iotsg.co.uk/activate/iotsg-100000-00002901,16/08/1976 12:34,11
https://qr.iotsg.co.uk/activate/iotsg-100000-00004332,17/08/1976 12:34,12
https://qr.iotsg.co.uk/activate/iotsg-100000-00004387,18/08/1976 12:34,13
https://qr.iotsg.co.uk/activate/iotsg-100000-00004386,19/08/1976 12:34,14
https://qr.iotsg.co.uk/activate/iotsg-100000-00004421,20/08/1976 12:34,15
https://qr.iotsg.co.uk/activate/iotsg-100000-00004393,21/08/1976 12:34,16
https://qr.iotsg.co.uk/activate/iotsg-100000-00004394,22/08/1976 12:34,17
https://qr.iotsg.co.uk/activate/iotsg-100000-00004343,23/08/1976 12:34,18
https://qr.iotsg.co.uk/activate/iotsg-100000-00004212,24/08/1976 12:34,19
https://qr.iotsg.co.uk/activate/iotsg-100000-00002384,25/08/1976 12:34,20
https://qr.iotsg.co.uk/activate/iotsg-100000-00004330,26/08/1976 12:34,21
https://qr.iotsg.co.uk/activate/iotsg-100000-00004238,27/08/1976 12:34,22
https://qr.iotsg.co.uk/activate/iotsg-100000-00004420,28/08/1976 12:34,23
https://qr.iotsg.co.uk/activate/iotsg-100000-00004210,29/08/1976 12:34,24
https://qr.iotsg.co.uk/activate/iotsg-100000-00004378,30/08/1976 12:34,25
https://qr.iotsg.co.uk/activate/iotsg-100000-00004333,31/08/1976 12:34,26
https://qr.iotsg.co.uk/activate/iotsg-100000-00002394,01/09/1976 12:34,27
https://qr.iotsg.co.uk/activate/iotsg-100000-00002395,02/09/1976 12:34,28
https://qr.iotsg.co.uk/activate/iotsg-100000-00002366,03/09/1976 12:34,29
https://qr.iotsg.co.uk/activate/iotsg-100000-00004218,04/09/1976 12:34,30
https://qr.iotsg.co.uk/activate/iotsg-100000-00002387,05/09/1976 12:34,31
https://qr.iotsg.co.uk/activate/iotsg-100000-00004403,06/09/1976 12:34,32
https://qr.iotsg.co.uk/activate/iotsg-100000-00002386,07/09/1976 12:34,33
https://qr.iotsg.co.uk/activate/iotsg-100000-00002787,08/09/1976 12:34,34
https://qr.iotsg.co.uk/activate/iotsg-100000-00004334,09/09/1976 12:34,35
https://qr.iotsg.co.uk/activate/iotsg-100000-00004377,10/09/1976 12:34,36
https://qr.iotsg.co.uk/activate/iotsg-100000-00001891,11/09/1976 12:34,37
https://qr.iotsg.co.uk/activate/iotsg-100000-00004211,12/09/1976 12:34,38
https://qr.iotsg.co.uk/activate/iotsg-100000-00004327,13/09/1976 12:34,39
https://qr.iotsg.co.uk/activate/iotsg-100000-00004414,14/09/1976 12:34,40
https://qr.iotsg.co.uk/activate/iotsg-100000-00004340,15/09/1976 12:34,41
https://qr.iotsg.co.uk/activate/iotsg-100000-00004413,16/09/1976 12:34,42
https://qr.iotsg.co.uk/activate/iotsg-100000-00002397,17/09/1976 12:34,43
https://qr.iotsg.co.uk/activate/iotsg-100000-00004341,18/09/1976 12:34,44
https://qr.iotsg.co.uk/activate/iotsg-100000-00004415,19/09/1976 12:34,45
https://qr.iotsg.co.uk/activate/iotsg-100000-00004401,20/09/1976 12:34,46
https://qr.iotsg.co.uk/activate/iotsg-100000-00004336,21/09/1976 12:34,47
https://qr.iotsg.co.uk/activate/iotsg-100000-00002801,22/09/1976 12:34,48
https://qr.iotsg.co.uk/activate/iotsg-100000-00004243,23/09/1976 12:34,49
https://qr.iotsg.co.uk/activate/iotsg-100000-00002820,24/09/1976 12:34,50
https://qr.iotsg.co.uk/activate/iotsg-100000-00002393,25/09/1976 12:34,51
https://qr.iotsg.co.uk/activate/iotsg-100000-00004426,26/09/1976 12:34,52
https://qr.iotsg.co.uk/activate/iotsg-100000-00002368,27/09/1976 12:34,53
https://qr.iotsg.co.uk/activate/iotsg-100000-00003388,28/09/1976 12:34,54
https://qr.iotsg.co.uk/activate/iotsg-100000-00004270,29/09/1976 12:34,55
https://qr.iotsg.co.uk/activate/iotsg-100000-00004235,30/09/1976 12:34,56
https://qr.iotsg.co.uk/activate/iotsg-100000-00004265,01/10/1976 12:34,57
https://qr.iotsg.co.uk/activate/iotsg-100000-00001920,02/10/1976 12:34,58
https://qr.iotsg.co.uk/activate/iotsg-100000-00004291,03/10/1976 12:34,59
https://qr.iotsg.co.uk/activate/iotsg-100000-00002719,04/10/1976 12:34,60
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00001007,05/10/1976 12:34,61
https://qr.iotsg.co.uk/activate/iotsg-100000-00001727,06/10/1976 12:34,62
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000977,07/10/1976 12:34,63
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000757,08/10/1976 12:34,64
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000905,09/10/1976 12:34,65
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000395,10/10/1976 12:34,66
https://qr.iotsg.co.uk/activate/iotsg-100000-00003212,11/10/1976 12:34,67
https://qr.iotsg.co.uk/activate/iotsg-100000-00004300,12/10/1976 12:34,68
https://qr.iotsg.co.uk/activate/iotsg-100000-00002125,13/10/1976 12:34,69
https://qr.iotsg.co.uk/activate/iotsg-100000-00004288,14/10/1976 12:34,70
https://qr.iotsg.co.uk/activate/iotsg-100000-00004203,15/10/1976 12:34,71
https://qr.iotsg.co.uk/activate/iotsg-100000-00002420,16/10/1976 12:34,72
https://qr.iotsg.co.uk/activate/iotsg-100000-00004256,17/10/1976 12:34,73
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000400,18/10/1976 12:34,74
https://qr.iotsg.co.uk/activate/iotsg-100000-00004255,19/10/1976 12:34,75
https://qr.iotsg.co.uk/activate/iotsg-100000-00002333,20/10/1976 12:34,76
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000649,21/10/1976 12:34,77
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000304,22/10/1976 12:34,78
https://qr.iotsg.co.uk/activate/iotsg-100000-00004202,23/10/1976 12:34,79
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000812,24/10/1976 12:34,80
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00001471,25/10/1976 12:34,81
https://qr.iotsg.co.uk/activate/iotsg-100000-00001934,26/10/1976 12:34,82
https://qr.iotsg.co.uk/activate/iotsg-100000-00001728,27/10/1976 12:34,83
https://qr.iotsg.co.uk/activate/iotsg-100000-00001826,28/10/1976 12:34,84
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000767,29/10/1976 12:34,85
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000974,30/10/1976 12:34,86
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000758,31/10/1976 12:34,87
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000922,01/11/1976 12:34,88
https://qr.iotsg.co.uk/activate/iotsg-100000-00004199,02/11/1976 12:34,89
https://qr.iotsg.co.uk/activate/iotsg-100000-00002912,03/11/1976 12:34,90
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000856,04/11/1976 12:34,91
https://qr.iotsg.co.uk/activate/iotsg-100000-00001922,05/11/1976 12:34,92
https://qr.iotsg.co.uk/activate/iotsg-100000-00001933,06/11/1976 12:34,93
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-200000-00000141,07/11/1976 12:34,94
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000895,08/11/1976 12:34,95
https://qr.iotsg.co.uk/activate/iotsg-100000-00001940,09/11/1976 12:34,96
https://qr.iotsg.co.uk/activate/iotsg-100000-00001687,10/11/1976 12:34,97
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00001300,11/11/1976 12:34,98
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000324,12/11/1976 12:34,99
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000938,13/11/1976 12:34,100
https://qr.iotsg.co.uk/activate/iotsg-100000-00002990,14/11/1976 12:34,101
https://qr.iotsg.co.uk/activate/iotsg-100000-00001918,15/11/1976 12:34,102
https://qr.iotsg.co.uk/activate/iotsg-100000-00003125,16/11/1976 12:34,103
https://qr.iotsg.co.uk/activate/iotsg-100000-00001732,17/11/1976 12:34,104
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000933,18/11/1976 12:34,105
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000377,19/11/1976 12:34,106
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00001565,20/11/1976 12:34,107
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000769,21/11/1976 12:34,108
https://d6fjq4xbcqtgv.cloudfront.net/activate/iotsg-100000-00000620,22/11/1976 12:34,109
https://qr.iotsg.co.uk/activate/iotsg-100000-00004240,23/11/1976 12:34,110
https://qr.iotsg.co.uk/activate/iotsg-100000-00004328,24/11/1976 12:34,111
https://qr.iotsg.co.uk/activate/iotsg-100000-00004322,25/11/1976 12:34,112
https://qr.iotsg.co.uk/activate/iotsg-100000-00002913,26/11/1976 12:34,113
https://qr.iotsg.co.uk/activate/iotsg-100000-00004416,27/11/1976 12:34,114
https://qr.iotsg.co.uk/activate/iotsg-100000-00004352,28/11/1976 12:34,115
https://qr.iotsg.co.uk/activate/iotsg-100000-00004392,29/11/1976 12:34,116
https://qr.iotsg.co.uk/activate/iotsg-100000-00002396,30/11/1976 12:34,117
https://qr.iotsg.co.uk/activate/iotsg-100000-00004376,01/12/1976 12:34,118
https://qr.iotsg.co.uk/activate/iotsg-100000-00004348,02/12/1976 12:34,119
https://qr.iotsg.co.uk/activate/iotsg-100000-00004321,03/12/1976 12:34,120
https://qr.iotsg.co.uk/activate/iotsg-100000-00004418,04/12/1976 12:34,121
https://qr.iotsg.co.uk/activate/iotsg-100000-00004404,05/12/1976 12:34,122
https://qr.iotsg.co.uk/activate/iotsg-100000-00004339,06/12/1976 12:34,123
https://qr.iotsg.co.uk/activate/iotsg-100000-00004417,07/12/1976 12:34,124
https://qr.iotsg.co.uk/activate/iotsg-100000-00004017,08/12/1976 12:34,125
https://qr.iotsg.co.uk/activate/iotsg-100000-00003215,09/12/1976 12:34,126
https://qr.iotsg.co.uk/activate/iotsg-100000-00004391,10/12/1976 12:34,127
https://qr.iotsg.co.uk/activate/iotsg-100000-00004390,11/12/1976 12:34,128
https://qr.iotsg.co.uk/activate/iotsg-100000-00004246,12/12/1976 12:34,129
https://qr.iotsg.co.uk/activate/iotsg-100000-00004290,13/12/1976 12:34,130
